Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
64.32,65.660004,64.220001,65.370003,65.370003,34560000,2014,Jun,453
65.360001,67.169998,65.269997,65.720001,65.720001,57335000,2014,Jun,454
65.580002,67.480003,65.57,67.440002,67.440002,44308000,2014,Jun,455
68,68,66.900002,67.129997,67.129997,47714000,2014,Jun,456
67.309998,67.699997,66.839996,67.599998,67.599998,46461000,2014,Jun,457
67.459999,67.919998,67.129997,67.290001,67.290001,27102800,2014,Jun,458
67.580002,68.440002,67.389999,68.059998,68.059998,33243000,2014,Jul,459
68.040001,68.300003,65.790001,66.449997,66.449997,41895000,2014,Jul,460
66.860001,67,65.760002,66.290001,66.290001,25203200,2014,Jul,461
66.300003,66.57,65.120003,65.290001,65.290001,28745000,2014,Jul,462
65.059998,65.559998,62.209999,62.759998,62.759998,68926000,2014,Jul,463
63.41,65.120003,63.150002,64.970001,64.970001,51432000,2014,Jul,464
63.310001,65.339996,63.049999,64.870003,64.870003,44422000,2014,Jul,465
65.279999,66.589996,64.790001,66.339996,66.339996,39212000,2014,Jul,466
67.129997,68.169998,66.900002,67.900002,67.900002,38537000,2014,Jul,467
67.959999,68.089996,66.260002,67.169998,67.169998,44213200,2014,Jul,468
67.540001,67.940002,67.07,67.660004,67.660004,29541600,2014,Jul,469
67.029999,67.849998,66.040001,66.410004,66.410004,38188000,2014,Jul,470
66.800003,68.459999,66.160004,68.419998,68.419998,42456000,2014,Jul,471
68.809998,69.959999,68.5,69.400002,69.400002,49539000,2014,Jul,472
69.760002,69.769997,68.610001,69.269997,69.269997,40398000,2014,Jul,473
69.739998,71.330002,69.610001,71.290001,71.290001,78435000,2014,Jul,474
75.959999,76.739998,74.510002,74.980003,74.980003,124168000,2014,Jul,475
74.989998,75.669998,74.660004,75.190002,75.190002,45917000,2014,Jul,476
75.169998,75.5,73.849998,74.919998,74.919998,41725000,2014,Jul,477
74.720001,74.919998,73.419998,73.709999,73.709999,41324000,2014,Jul,478
74.209999,75.190002,74.129997,74.68,74.68,36853000,2014,Jul,479
74,74.169998,72.440002,72.650002,72.650002,43992000,2014,Jul,480
72.220001,73.220001,71.550003,72.360001,72.360001,43535000,2014,Aug,481
72.360001,73.879997,72.360001,73.510002,73.510002,30777000,2014,Aug,482
73.199997,73.589996,72.18,72.690002,72.690002,34986000,2014,Aug,483
72.019997,73.720001,71.790001,72.470001,72.470001,30986000,2014,Aug,484
73,74,72.699997,73.169998,73.169998,38141000,2014,Aug,485
73.400002,73.43,72.559998,73.059998,73.059998,27202000,2014,Aug,486
73.459999,73.910004,73.059998,73.440002,73.440002,24591000,2014,Aug,487
73.089996,73.330002,72.220001,72.830002,72.830002,27419000,2014,Aug,488
73.120003,74.25,73.050003,73.769997,73.769997,29266000,2014,Aug,489
73.970001,74.379997,73.690002,74.300003,74.300003,22207000,2014,Aug,490
74.32,74.650002,73,73.629997,73.629997,38846600,2014,Aug,491
74,74.720001,73.959999,74.589996,74.589996,23974000,2014,Aug,492
74.809998,75.580002,74.510002,75.290001,75.290001,26679000,2014,Aug,493
74.970001,75.18,74.620003,74.809998,74.809998,22917000,2014,Aug,494
74.919998,75.190002,74.410004,74.57,74.57,20102000,2014,Aug,495
74.339996,74.730003,73.57,74.57,74.57,20897000,2014,Aug,496
74.940002,75.279999,74.790001,75.019997,75.019997,19734000,2014,Aug,497
75,75.989998,74.730003,75.959999,75.959999,23993000,2014,Aug,498
75.269997,75.489998,74.459999,74.629997,74.629997,36323000,2014,Aug,499
74,74.43,73.730003,73.860001,73.860001,21947000,2014,Aug,500
74.300003,74.82,74.010002,74.82,74.82,26241000,2014,Aug,501
75.010002,76.699997,74.82,76.68,76.68,34979000,2014,Sep,502
77.139999,77.480003,75.599998,75.830002,75.830002,32389000,2014,Sep,503
75.889999,76.93,75.529999,75.949997,75.949997,26676000,2014,Sep,504
76.099998,77.379997,75.599998,77.260002,77.260002,29476000,2014,Sep,505
77.260002,78.169998,77.010002,77.889999,77.889999,28183000,2014,Sep,506
